SolutionName,Pipeline,UnrollFactor,Flatten,PartitionType,WorstNegativeSlack_ns,EstimatedClock_ns,TargetClock_ns,Interval_min_cycles,Interval_max_cycles,BestLatency_cycles,WorstLatency_cycles,AvgLatency_cycles
sol_pipe_off_unroll_16_flat_off_part_complete,off,16,off,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_16_flat_off_part_cyclic,off,16,off,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_16_flat_on_part_complete,off,16,on,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_16_flat_on_part_cyclic,off,16,on,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_1_flat_off_part_complete,off,1,off,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_1_flat_off_part_cyclic,off,1,off,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_1_flat_on_part_complete,off,1,on,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_1_flat_on_part_cyclic,off,1,on,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_24_flat_off_part_complete,off,24,off,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_24_flat_off_part_cyclic,off,24,off,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_24_flat_on_part_complete,off,24,on,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_24_flat_on_part_cyclic,off,24,on,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_2_flat_off_part_complete,off,2,off,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_2_flat_off_part_cyclic,off,2,off,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_2_flat_on_part_complete,off,2,on,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_2_flat_on_part_cyclic,off,2,on,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_32_flat_off_part_complete,off,32,off,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_32_flat_off_part_cyclic,off,32,off,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_32_flat_on_part_complete,off,32,on,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_32_flat_on_part_cyclic,off,32,on,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_4_flat_off_part_complete,off,4,off,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_4_flat_off_part_cyclic,off,4,off,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_4_flat_on_part_complete,off,4,on,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_4_flat_on_part_cyclic,off,4,on,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_8_flat_off_part_complete,off,8,off,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_8_flat_off_part_cyclic,off,8,off,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_8_flat_on_part_complete,off,8,on,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_8_flat_on_part_cyclic,off,8,on,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_9_flat_off_part_complete,off,9,off,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_9_flat_off_part_cyclic,off,9,off,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_9_flat_on_part_complete,off,9,on,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_off_unroll_9_flat_on_part_cyclic,off,9,on,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_16_flat_off_part_complete,on,16,off,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_16_flat_off_part_cyclic,on,16,off,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_16_flat_on_part_complete,on,16,on,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_16_flat_on_part_cyclic,on,16,on,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_1_flat_off_part_complete,on,1,off,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_1_flat_off_part_cyclic,on,1,off,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_1_flat_on_part_complete,on,1,on,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_1_flat_on_part_cyclic,on,1,on,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_24_flat_off_part_complete,on,24,off,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_24_flat_off_part_cyclic,on,24,off,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_24_flat_on_part_complete,on,24,on,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_24_flat_on_part_cyclic,on,24,on,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_2_flat_off_part_complete,on,2,off,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_2_flat_off_part_cyclic,on,2,off,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_2_flat_on_part_complete,on,2,on,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_2_flat_on_part_cyclic,on,2,on,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_32_flat_off_part_complete,on,32,off,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_32_flat_off_part_cyclic,on,32,off,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_32_flat_on_part_complete,on,32,on,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_32_flat_on_part_cyclic,on,32,on,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_4_flat_off_part_complete,on,4,off,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_4_flat_off_part_cyclic,on,4,off,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_4_flat_on_part_complete,on,4,on,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_4_flat_on_part_cyclic,on,4,on,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_8_flat_off_part_complete,on,8,off,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_8_flat_off_part_cyclic,on,8,off,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_8_flat_on_part_complete,on,8,on,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_8_flat_on_part_cyclic,on,8,on,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_9_flat_off_part_complete,on,9,off,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_9_flat_off_part_cyclic,on,9,off,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_9_flat_on_part_complete,on,9,on,complete,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
sol_pipe_on_unroll_9_flat_on_part_cyclic,on,9,on,cyclic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
