SolutionName,Pipeline,UnrollFactor,Flatten,PartitionType,EstimatedClock_ns,TargetClock_ns,Interval_min_cycles,Interval_max_cycles,BestLatency_cycles,WorstLatency_cycles,AvgLatency_cycles,BRAM_18K_Used,BRAM_18K_Available,DSP48E_Used,DSP48E_Available,FF_Used,FF_Available,LUT_Used,LUT_Available,URAM_Used,URAM_Available
sol_pipe_off_unroll_16_flat_off_part_complete,off,16,off,complete,4.520,4.00,1659793,8823697,1659792,8823696,5272464,72,280,0,220,21495,106400,40162,53200,0,0
sol_pipe_off_unroll_16_flat_off_part_cyclic,off,16,off,cyclic,4.520,4.00,1659793,8823697,1659792,8823696,5272464,72,280,0,220,21495,106400,40162,53200,0,0
sol_pipe_off_unroll_16_flat_on_part_complete,off,16,on,complete,4.520,4.00,1659793,8823697,1659792,8823696,5272464,72,280,0,220,21495,106400,40162,53200,0,0
sol_pipe_off_unroll_16_flat_on_part_cyclic,off,16,on,cyclic,4.520,4.00,1659793,8823697,1659792,8823696,5272464,72,280,0,220,21495,106400,40162,53200,0,0
sol_pipe_off_unroll_1_flat_off_part_complete,off,1,off,complete,4.520,4.00,787345,6292369,787344,6292368,3539856,72,280,0,220,1360,106400,7091,53200,0,0
sol_pipe_off_unroll_1_flat_off_part_cyclic,off,1,off,cyclic,4.520,4.00,787345,6292369,787344,6292368,3539856,72,280,0,220,1360,106400,7091,53200,0,0
sol_pipe_off_unroll_1_flat_on_part_complete,off,1,on,complete,4.520,4.00,787345,6292369,787344,6292368,3539856,72,280,0,220,1360,106400,7091,53200,0,0
sol_pipe_off_unroll_1_flat_on_part_cyclic,off,1,on,cyclic,4.520,4.00,787345,6292369,787344,6292368,3539856,72,280,0,220,1360,106400,7091,53200,0,0
sol_pipe_off_unroll_24_flat_off_part_complete,off,24,off,complete,4.520,4.00,1867665,9296273,1867664,9296272,5615760,72,280,0,220,32528,106400,58285,53200,0,0
sol_pipe_off_unroll_24_flat_off_part_cyclic,off,24,off,cyclic,4.520,4.00,1867665,9296273,1867664,9296272,5615760,72,280,0,220,32528,106400,58285,53200,0,0
sol_pipe_off_unroll_24_flat_on_part_complete,off,24,on,complete,4.520,4.00,1867665,9296273,1867664,9296272,5615760,72,280,0,220,32528,106400,58285,53200,0,0
sol_pipe_off_unroll_24_flat_on_part_cyclic,off,24,on,cyclic,4.520,4.00,1867665,9296273,1867664,9296272,5615760,72,280,0,220,32528,106400,58285,53200,0,0
sol_pipe_off_unroll_2_flat_off_part_complete,off,2,off,complete,4.520,4.00,1803153,9077649,1803152,9077648,5473168,72,280,0,220,4100,106400,10826,53200,0,0
sol_pipe_off_unroll_2_flat_off_part_cyclic,off,2,off,cyclic,4.520,4.00,1803153,9077649,1803152,9077648,5473168,72,280,0,220,4100,106400,10826,53200,0,0
sol_pipe_off_unroll_2_flat_on_part_complete,off,2,on,complete,4.520,4.00,1803153,9077649,1803152,9077648,5473168,72,280,0,220,4100,106400,10826,53200,0,0
sol_pipe_off_unroll_2_flat_on_part_cyclic,off,2,on,cyclic,4.520,4.00,1803153,9077649,1803152,9077648,5473168,72,280,0,220,4100,106400,10826,53200,0,0
sol_pipe_off_unroll_32_flat_off_part_complete,off,32,off,complete,4.520,4.00,1649553,8868753,1649552,8868752,5290896,72,280,0,220,41386,106400,71586,53200,0,0
sol_pipe_off_unroll_32_flat_off_part_cyclic,off,32,off,cyclic,4.520,4.00,1649553,8868753,1649552,8868752,5290896,72,280,0,220,41386,106400,71586,53200,0,0
sol_pipe_off_unroll_32_flat_on_part_complete,off,32,on,complete,4.520,4.00,1649553,8868753,1649552,8868752,5290896,72,280,0,220,41386,106400,71586,53200,0,0
sol_pipe_off_unroll_32_flat_on_part_cyclic,off,32,on,cyclic,4.520,4.00,1649553,8868753,1649552,8868752,5290896,72,280,0,220,41386,106400,71586,53200,0,0
sol_pipe_off_unroll_4_flat_off_part_complete,off,4,off,complete,4.520,4.00,1721233,8995729,1721232,8995728,5391248,72,280,0,220,6614,106400,15202,53200,0,0
sol_pipe_off_unroll_4_flat_off_part_cyclic,off,4,off,cyclic,4.520,4.00,1721233,8995729,1721232,8995728,5391248,72,280,0,220,6614,106400,15202,53200,0,0
sol_pipe_off_unroll_4_flat_on_part_complete,off,4,on,complete,4.520,4.00,1721233,8995729,1721232,8995728,5391248,72,280,0,220,6614,106400,15202,53200,0,0
sol_pipe_off_unroll_4_flat_on_part_cyclic,off,4,on,cyclic,4.520,4.00,1721233,8995729,1721232,8995728,5391248,72,280,0,220,6614,106400,15202,53200,0,0
sol_pipe_off_unroll_8_flat_off_part_complete,off,8,off,complete,4.520,4.00,1680273,8954769,1680272,8954768,5350288,72,280,0,220,11609,106400,23567,53200,0,0
sol_pipe_off_unroll_8_flat_off_part_cyclic,off,8,off,cyclic,4.520,4.00,1680273,8954769,1680272,8954768,5350288,72,280,0,220,11609,106400,23567,53200,0,0
sol_pipe_off_unroll_8_flat_on_part_complete,off,8,on,complete,4.520,4.00,1680273,8954769,1680272,8954768,5350288,72,280,0,220,11609,106400,23567,53200,0,0
sol_pipe_off_unroll_8_flat_on_part_cyclic,off,8,on,cyclic,4.520,4.00,1680273,8954769,1680272,8954768,5350288,72,280,0,220,11609,106400,23567,53200,0,0
sol_pipe_off_unroll_9_flat_off_part_complete,off,9,off,complete,4.520,4.00,1835153,9251729,1835152,9251728,5576848,72,280,0,220,13305,106400,26843,53200,0,0
sol_pipe_off_unroll_9_flat_off_part_cyclic,off,9,off,cyclic,4.520,4.00,1835153,9251729,1835152,9251728,5576848,72,280,0,220,13305,106400,26843,53200,0,0
sol_pipe_off_unroll_9_flat_on_part_complete,off,9,on,complete,4.520,4.00,1835153,9251729,1835152,9251728,5576848,72,280,0,220,13305,106400,26843,53200,0,0
sol_pipe_off_unroll_9_flat_on_part_cyclic,off,9,on,cyclic,4.520,4.00,1835153,9251729,1835152,9251728,5576848,72,280,0,220,13305,106400,26843,53200,0,0
sol_pipe_on_unroll_16_flat_off_part_complete,on,16,off,complete,4.520,4.00,262574,262574,262573,262573,262573,72,280,0,220,8043,106400,20469,53200,0,0
sol_pipe_on_unroll_16_flat_off_part_cyclic,on,16,off,cyclic,4.520,4.00,262574,262574,262573,262573,262573,72,280,0,220,8043,106400,20469,53200,0,0
sol_pipe_on_unroll_16_flat_on_part_complete,on,16,on,complete,4.520,4.00,270225,270225,270224,270224,270224,72,280,0,220,7801,106400,20293,53200,0,0
sol_pipe_on_unroll_16_flat_on_part_cyclic,on,16,on,cyclic,4.520,4.00,270225,270225,270224,270224,270224,72,280,0,220,7801,106400,20293,53200,0,0
sol_pipe_on_unroll_1_flat_off_part_complete,on,1,off,complete,4.520,4.00,262557,262557,262556,262556,262556,72,280,15,220,1686,106400,6718,53200,0,0
sol_pipe_on_unroll_1_flat_off_part_cyclic,on,1,off,cyclic,4.520,4.00,262557,262557,262556,262556,262556,72,280,15,220,1686,106400,6718,53200,0,0
sol_pipe_on_unroll_1_flat_on_part_complete,on,1,on,complete,4.520,4.00,265873,265873,265872,265872,265872,72,280,15,220,1723,106400,6667,53200,0,0
sol_pipe_on_unroll_1_flat_on_part_cyclic,on,1,on,cyclic,4.520,4.00,265873,265873,265872,265872,265872,72,280,15,220,1723,106400,6667,53200,0,0
sol_pipe_on_unroll_24_flat_off_part_complete,on,24,off,complete,4.833,4.00,279697,279697,279696,279696,279696,72,280,0,220,11457,106400,30266,53200,0,0
sol_pipe_on_unroll_24_flat_off_part_cyclic,on,24,off,cyclic,4.833,4.00,279697,279697,279696,279696,279696,72,280,0,220,11457,106400,30266,53200,0,0
sol_pipe_on_unroll_24_flat_on_part_complete,on,24,on,complete,4.833,4.00,279697,279697,279696,279696,279696,72,280,0,220,11457,106400,30266,53200,0,0
sol_pipe_on_unroll_24_flat_on_part_cyclic,on,24,on,cyclic,4.833,4.00,279697,279697,279696,279696,279696,72,280,0,220,11457,106400,30266,53200,0,0
sol_pipe_on_unroll_2_flat_off_part_complete,on,2,off,complete,4.520,4.00,262559,262559,262558,262558,262558,72,280,30,220,2119,106400,7687,53200,0,0
sol_pipe_on_unroll_2_flat_off_part_cyclic,on,2,off,cyclic,4.520,4.00,262559,262559,262558,262558,262558,72,280,30,220,2119,106400,7687,53200,0,0
sol_pipe_on_unroll_2_flat_on_part_complete,on,2,on,complete,4.520,4.00,266385,266385,266384,266384,266384,72,280,30,220,2134,106400,7596,53200,0,0
sol_pipe_on_unroll_2_flat_on_part_cyclic,on,2,on,cyclic,4.520,4.00,266385,266385,266384,266384,266384,72,280,30,220,2134,106400,7596,53200,0,0
sol_pipe_on_unroll_32_flat_off_part_complete,on,32,off,complete,4.520,4.00,262595,262595,262594,262594,262594,72,280,0,220,12942,106400,32034,53200,0,0
sol_pipe_on_unroll_32_flat_off_part_cyclic,on,32,off,cyclic,4.520,4.00,262595,262595,262594,262594,262594,72,280,0,220,12942,106400,32034,53200,0,0
sol_pipe_on_unroll_32_flat_on_part_complete,on,32,on,complete,4.520,4.00,275601,275601,275600,275600,275600,72,280,0,220,12862,106400,32055,53200,0,0
sol_pipe_on_unroll_32_flat_on_part_cyclic,on,32,on,cyclic,4.520,4.00,275601,275601,275600,275600,275600,72,280,0,220,12862,106400,32055,53200,0,0
sol_pipe_on_unroll_4_flat_off_part_complete,on,4,off,complete,4.520,4.00,262564,262564,262563,262563,262563,72,280,0,220,7894,106400,13515,53200,0,0
sol_pipe_on_unroll_4_flat_off_part_cyclic,on,4,off,cyclic,4.520,4.00,262564,262564,262563,262563,262563,72,280,0,220,7894,106400,13515,53200,0,0
sol_pipe_on_unroll_4_flat_on_part_complete,on,4,on,complete,4.520,4.00,267665,267665,267664,267664,267664,72,280,0,220,7633,106400,13335,53200,0,0
sol_pipe_on_unroll_4_flat_on_part_cyclic,on,4,on,cyclic,4.520,4.00,267665,267665,267664,267664,267664,72,280,0,220,7633,106400,13335,53200,0,0
sol_pipe_on_unroll_8_flat_off_part_complete,on,8,off,complete,4.520,4.00,262570,262570,262569,262569,262569,72,280,0,220,6740,106400,15263,53200,0,0
sol_pipe_on_unroll_8_flat_off_part_cyclic,on,8,off,cyclic,4.520,4.00,262570,262570,262569,262569,262569,72,280,0,220,6740,106400,15263,53200,0,0
sol_pipe_on_unroll_8_flat_on_part_complete,on,8,on,complete,4.520,4.00,269201,269201,269200,269200,269200,72,280,0,220,6480,106400,15085,53200,0,0
sol_pipe_on_unroll_8_flat_on_part_cyclic,on,8,on,cyclic,4.520,4.00,269201,269201,269200,269200,269200,72,280,0,220,6480,106400,15085,53200,0,0
sol_pipe_on_unroll_9_flat_off_part_complete,on,9,off,complete,4.833,4.00,270225,270225,270224,270224,270224,72,280,0,220,5288,106400,15881,53200,0,0
sol_pipe_on_unroll_9_flat_off_part_cyclic,on,9,off,cyclic,4.833,4.00,270225,270225,270224,270224,270224,72,280,0,220,5288,106400,15881,53200,0,0
sol_pipe_on_unroll_9_flat_on_part_complete,on,9,on,complete,4.833,4.00,270225,270225,270224,270224,270224,72,280,0,220,5288,106400,15881,53200,0,0
sol_pipe_on_unroll_9_flat_on_part_cyclic,on,9,on,cyclic,4.833,4.00,270225,270225,270224,270224,270224,72,280,0,220,5288,106400,15881,53200,0,0
